order_id,order_date,region,channel,product_category,product,quantity,unit_price,total_price,customer_id
ORD-00001,2025-03-13,NA,Mobile,Electronics,Laptop,5,1108.16,5540.80,CUST-0189
ORD-00002,2025-01-16,EU,Online,Books,Fiction Novel,10,17.58,175.80,CUST-0024
ORD-00003,2025-11-29,LATAM,Online,Books,Children's Book,1,15.28,15.28,CUST-0180
ORD-00004,2025-01-04,EU,Mobile,Sports,Tennis Racket,5,131.14,655.70,CUST-0195
ORD-00005,2025-06-22,NA,In-Store,Sports,Running Shoes,5,116.56,582.80,CUST-0027
ORD-00006,2025-01-23,LATAM,Mobile,Electronics,Smartphone,6,876.45,5258.70,CUST-0187
ORD-00007,2025-11-18,APAC,Mobile,Electronics,Tablet,2,507.81,1015.62,CUST-0159
ORD-00008,2025-05-29,EU,Online,Clothing,T-Shirt,1,26.21,26.21,CUST-0021
ORD-00009,2025-07-06,APAC,In-Store,Sports,Running Shoes,8,135.29,1082.32,CUST-0042
ORD-00010,2025-03-29,EU,Online,Clothing,Jacket,2,144.58,289.16,CUST-0137
ORD-00011,2025-11-24,EU,Mobile,Sports,Bicycle,5,745.46,3727.30,CUST-0177
ORD-00012,2025-06-11,APAC,Online,Home,Coffee Maker,4,98.69,394.76,CUST-0103
ORD-00013,2025-09-13,LATAM,Online,Clothing,Dress,6,100.52,603.12,CUST-0102
ORD-00014,2025-10-03,LATAM,Mobile,Home,Vacuum,4,236.17,944.68,CUST-0068
ORD-00015,2025-03-12,LATAM,Online,Sports,Running Shoes,4,149.40,597.60,CUST-0131
ORD-00016,2025-12-15,NA,In-Store,Electronics,Laptop,3,1245.88,3737.64,CUST-0109
ORD-00017,2025-10-11,NA,Mobile,Sports,Tennis Racket,8,121.05,968.40,CUST-0221
ORD-00018,2025-06-24,APAC,In-Store,Electronics,Smartwatch,5,345.79,1728.95,CUST-0029
ORD-00019,2025-05-15,EU,Mobile,Clothing,Sneakers,1,107.93,107.93,CUST-0249
ORD-00020,2025-03-20,EU,Mobile,Electronics,Smartphone,9,877.79,7900.11,CUST-0096
ORD-00021,2025-01-10,APAC,In-Store,Books,Fiction Novel,10,17.05,170.50,CUST-0029
ORD-00022,2025-02-10,LATAM,Online,Clothing,T-Shirt,4,27.84,111.36,CUST-0022
ORD-00023,2025-10-09,APAC,Mobile,Books,Cookbook,3,31.44,94.32,CUST-0043
ORD-00024,2025-12-20,APAC,In-Store,Books,Textbook,4,95.94,383.76,CUST-0052
ORD-00025,2025-05-07,NA,In-Store,Home,Cookware Set,9,157.67,1419.03,CUST-0058
ORD-00026,2025-04-23,NA,Mobile,Electronics,Smartwatch,9,294.09,2646.81,CUST-0002
ORD-00027,2025-06-19,EU,In-Store,Electronics,Headphones,2,201.89,403.78,CUST-0019
ORD-00028,2025-10-20,LATAM,Online,Sports,Dumbbells,9,75.62,680.58,CUST-0148
ORD-00029,2025-12-04,APAC,In-Store,Sports,Bicycle,4,570.89,2283.56,CUST-0111
ORD-00030,2025-11-27,NA,In-Store,Sports,Bicycle,1,683.81,683.81,CUST-0026
ORD-00031,2025-10-02,EU,In-Store,Home,Coffee Maker,4,81.67,326.68,CUST-0115
ORD-00032,2025-02-08,NA,Online,Clothing,Jacket,8,129.49,1035.92,CUST-0114
ORD-00033,2025-05-02,LATAM,In-Store,Books,Fiction Novel,2,20.30,40.60,CUST-0043
ORD-00034,2025-03-26,NA,In-Store,Sports,Dumbbells,7,95.26,666.82,CUST-0098
ORD-00035,2025-10-12,LATAM,Online,Home,Cookware Set,5,156.30,781.50,CUST-0170
ORD-00036,2025-10-24,NA,Mobile,Clothing,Jacket,4,159.69,638.76,CUST-0189
ORD-00037,2025-09-15,EU,Online,Home,Coffee Maker,1,92.27,92.27,CUST-0236
ORD-00038,2025-02-04,EU,In-Store,Books,Fiction Novel,3,15.67,47.01,CUST-0173
ORD-00039,2025-01-21,NA,In-Store,Electronics,Smartwatch,4,327.58,1310.32,CUST-0159
ORD-00040,2025-05-14,APAC,Online,Books,Children's Book,9,14.17,127.53,CUST-0053
ORD-00041,2025-06-03,APAC,Online,Home,Cookware Set,3,168.24,504.72,CUST-0118
ORD-00042,2025-02-21,EU,Mobile,Electronics,Tablet,10,574.77,5747.70,CUST-0019
ORD-00043,2025-05-06,APAC,Online,Home,Vacuum,6,245.14,1470.84,CUST-0095
ORD-00044,2025-12-01,NA,Mobile,Sports,Tennis Racket,5,124.02,620.10,CUST-0136
ORD-00045,2025-03-10,NA,Online,Books,Biography,2,27.16,54.32,CUST-0068
ORD-00046,2025-04-18,APAC,Online,Books,Cookbook,5,28.04,140.20,CUST-0184
ORD-00047,2025-01-27,LATAM,In-Store,Home,Lamp,8,41.64,333.12,CUST-0024
ORD-00048,2025-11-23,EU,Mobile,Electronics,Laptop,6,1297.60,7785.60,CUST-0068
ORD-00049,2025-02-27,EU,Mobile,Sports,Tennis Racket,7,122.19,855.33,CUST-0020
ORD-00050,2025-08-09,NA,In-Store,Electronics,Smartphone,10,863.39,8633.90,CUST-0033
ORD-00051,2025-05-08,NA,In-Store,Home,Coffee Maker,6,82.17,493.02,CUST-0171
ORD-00052,2025-05-02,EU,Online,Books,Textbook,10,91.36,913.60,CUST-0222
ORD-00053,2025-06-20,LATAM,Mobile,Sports,Yoga Mat,3,42.84,128.52,CUST-0201
ORD-00054,2025-02-25,NA,In-Store,Clothing,Jacket,3,152.07,456.21,CUST-0098
ORD-00055,2025-04-27,NA,Mobile,Clothing,Jeans,8,62.07,496.56,CUST-0058
ORD-00056,2025-02-05,APAC,In-Store,Clothing,Sneakers,6,88.69,532.14,CUST-0248
ORD-00057,2025-01-15,APAC,Online,Books,Textbook,9,80.69,726.21,CUST-0030
ORD-00058,2025-08-11,APAC,In-Store,Books,Biography,1,21.18,21.18,CUST-0089
ORD-00059,2025-10-23,APAC,Online,Books,Children's Book,2,14.48,28.96,CUST-0049
ORD-00060,2025-10-03,EU,In-Store,Sports,Yoga Mat,9,45.11,405.99,CUST-0176
ORD-00061,2025-12-06,NA,Mobile,Sports,Yoga Mat,6,41.48,248.88,CUST-0218
ORD-00062,2025-06-17,APAC,Mobile,Home,Lamp,5,47.25,236.25,CUST-0104
ORD-00063,2025-07-14,EU,Mobile,Clothing,Jeans,7,68.22,477.54,CUST-0174
ORD-00064,2025-01-01,APAC,Online,Books,Biography,7,24.35,170.45,CUST-0078
ORD-00065,2025-08-27,LATAM,Mobile,Sports,Tennis Racket,10,125.57,1255.70,CUST-0114
ORD-00066,2025-03-28,NA,In-Store,Clothing,Dress,8,119.69,957.52,CUST-0169
ORD-00067,2025-05-01,APAC,Online,Books,Children's Book,6,13.17,79.02,CUST-0173
ORD-00068,2025-09-01,NA,In-Store,Clothing,Jeans,1,56.15,56.15,CUST-0157
ORD-00069,2025-07-16,LATAM,Online,Sports,Tennis Racket,4,127.86,511.44,CUST-0127
ORD-00070,2025-04-23,LATAM,Online,Clothing,T-Shirt,2,27.09,54.18,CUST-0046
ORD-00071,2025-08-26,APAC,In-Store,Books,Cookbook,2,29.61,59.22,CUST-0171
ORD-00072,2025-10-08,EU,Mobile,Books,Children's Book,7,16.49,115.43,CUST-0115
ORD-00073,2025-11-23,LATAM,Mobile,Sports,Bicycle,5,699.10,3495.50,CUST-0071
ORD-00074,2025-05-27,APAC,In-Store,Clothing,Jacket,8,122.25,978.00,CUST-0061
ORD-00075,2025-04-29,EU,Mobile,Home,Lamp,2,40.12,80.24,CUST-0099
ORD-00076,2025-10-05,LATAM,Online,Clothing,T-Shirt,7,24.31,170.17,CUST-0120
ORD-00077,2025-10-27,NA,Mobile,Clothing,Sneakers,7,106.54,745.78,CUST-0243
ORD-00078,2025-06-02,LATAM,In-Store,Sports,Bicycle,1,736.33,736.33,CUST-0193
ORD-00079,2025-09-07,APAC,In-Store,Books,Children's Book,10,16.79,167.90,CUST-0057
ORD-00080,2025-12-14,LATAM,Mobile,Sports,Yoga Mat,7,38.03,266.21,CUST-0205
ORD-00081,2025-10-01,LATAM,Mobile,Clothing,Sneakers,3,108.70,326.10,CUST-0007
ORD-00082,2025-03-11,LATAM,Online,Books,Fiction Novel,2,18.77,37.54,CUST-0222
ORD-00083,2025-08-21,APAC,In-Store,Electronics,Smartphone,7,805.97,5641.79,CUST-0084
ORD-00084,2025-08-29,NA,In-Store,Home,Cookware Set,5,176.08,880.40,CUST-0005
ORD-00085,2025-05-07,NA,Mobile,Clothing,T-Shirt,1,26.91,26.91,CUST-0052
ORD-00086,2025-02-28,EU,In-Store,Clothing,Jeans,3,64.48,193.44,CUST-0145
ORD-00087,2025-02-28,EU,In-Store,Home,Bed Linen,3,77.38,232.14,CUST-0200
ORD-00088,2025-10-22,LATAM,In-Store,Electronics,Smartwatch,1,361.17,361.17,CUST-0174
ORD-00089,2025-11-18,NA,Mobile,Clothing,T-Shirt,10,26.43,264.30,CUST-0063
ORD-00090,2025-10-17,NA,In-Store,Home,Lamp,2,49.00,98.00,CUST-0201
ORD-00091,2025-11-28,NA,In-Store,Books,Textbook,6,74.01,444.06,CUST-0088
ORD-00092,2025-11-22,LATAM,Mobile,Sports,Yoga Mat,7,45.53,318.71,CUST-0229
ORD-00093,2025-11-30,LATAM,In-Store,Clothing,Sneakers,3,101.66,304.98,CUST-0070
ORD-00094,2025-05-06,NA,In-Store,Sports,Tennis Racket,5,113.60,568.00,CUST-0213
ORD-00095,2025-12-09,APAC,Online,Sports,Dumbbells,8,86.78,694.24,CUST-0098
ORD-00096,2025-07-01,APAC,In-Store,Sports,Running Shoes,3,129.51,388.53,CUST-0205
ORD-00097,2025-09-22,EU,Online,Home,Lamp,5,45.75,228.75,CUST-0243
ORD-00098,2025-05-04,LATAM,Mobile,Clothing,Sneakers,8,96.57,772.56,CUST-0177
ORD-00099,2025-04-24,EU,In-Store,Sports,Bicycle,1,570.65,570.65,CUST-0104
ORD-00100,2025-06-26,APAC,In-Store,Books,Biography,8,24.39,195.12,CUST-0109
ORD-00101,2025-03-03,EU,In-Store,Sports,Running Shoes,5,120.30,601.50,CUST-0185
ORD-00102,2025-09-05,APAC,Online,Electronics,Smartwatch,3,290.39,871.17,CUST-0071
